"","logFC","logCPM","F","PValue","FDR"
"CNPY3",0.27409016589876,7.3087211414223,10.9757037418442,0.00106974658229329,0.00218905671280094
"CDKL4",0.276206307821274,7.56954780151965,10.9546970565545,0.00108138710522906,0.00221165719977939
"PITX1",0.35892981055882,10.2648827666894,10.9174527050348,0.00110234390248885,0.00225327596596895
"TINF2",0.261107628806211,7.48199587382959,10.9141692887499,0.00110421117522287,0.00225584992294982
"FOXB1",0.284494694783451,7.41915371982687,10.8981518630604,0.00111336659901578,0.00227330219171631
"TAOK1",-0.264936970106596,7.78510521618703,10.8732421025916,0.0011277588494268,0.00230075050894058
"TTC1",-0.280819213094145,7.86710189364338,10.8727416875924,0.00112804991260456,0.00230075050894058
"DNM2",-0.27959895234386,8.08435829742408,10.8684319602299,0.00113055981041527,0.00230460269046189
"BEST1",0.348424811922527,7.39764737164355,10.846666869656,0.00114332262409554,0.00232933933849228
"RPP25",0.253117120244049,7.58824416014609,10.8248098177282,0.00115628723891428,0.00235445974553896
"MMP9",0.594278559707049,8.17556871881159,10.8442651730254,0.00116412119427261,0.0023691111523595
"MXI1",-0.292157441482772,7.2295731830219,10.7376831581655,0.0012094745662881,0.00246006065840397
"RNASE2",-0.292356799138918,7.25443537814471,10.7214790035273,0.00121963845887885,0.00247882760604081
"IER2",-0.315592191405736,7.40530166558254,10.7241223105662,0.00122003752254192,0.00247882760604081
"SP1",-0.281600492714981,7.35852186478282,10.6776062339081,0.00124759667340949,0.00253343385788134
"ANXA4",-0.472743461694291,7.15886559712019,10.671966703247,0.00126077408622308,0.0025587920458904
"PGLYRP4",0.295076315483729,7.60237492373998,10.6465487019471,0.00126778271161251,0.0025707034817397
"RASA4",0.251241280487263,8.04173835356963,10.646172983359,0.00126802894112767,0.0025707034817397
"LASP1",-0.28504613080225,7.61945134182355,10.6315846320954,0.00127762732129685,0.00258874787657637
"TMEM255B",0.253797852231676,8.0120491920248,10.6277557027386,0.00128015881497894,0.00259246135566149
"OR4A5",0.259156838391702,7.36846860598761,10.6259731837371,0.00128133907082599,0.00259343587166636
"ESYT1",-0.287630108015268,7.5695561211912,10.6238666490094,0.00128273529760725,0.0025942177644643
"KLHDC8B",0.261008994043454,7.40523466083335,10.6232807963794,0.00128312388080647,0.0025942177644643
"LCE1D",0.221005666653811,8.83349054990108,11.7970596506361,0.00129506755094109,0.00261693933223935
"KCNK9",0.275835193888039,7.28378253736338,10.59710829494,0.00130060659555056,0.00262670139874393
"DYNLT1",-0.215618724262961,7.80091268951006,10.5567865131492,0.00132801763891999,0.00268060143655777
"SPTBN1",-0.304679716908149,7.50771412297123,10.5271552503842,0.00134853630293934,0.002720538164168
"PNISR",0.294103491756415,7.66531604719646,10.4895107681435,0.00137507113646726,0.00277256191102909
"CPTP",0.252828841524092,7.99066538187611,10.4683541208856,0.00139021724931472,0.00280157848721218
"ZBTB7B",-0.262341456205025,7.64070524660356,10.4661683564177,0.00139179171571632,0.00280178986587796
"S100PBP",0.277126833126969,7.42743955838346,10.4661117155892,0.0013918325398418,0.00280178986587796
"RBPMS",-0.31953690312834,7.12882396229581,10.4606613860585,0.00139576660968295,0.0028081855324966
"CYBC1",0.247039812614996,7.83859576330305,10.4458013786307,0.00140655036113488,0.00282735441314113
"LARP1B",-0.29491918157147,7.30101052061023,10.4454335098353,0.00140681839532575,0.00282735441314113
"FLVCR1",0.26528154228497,7.58277980720777,10.4125230352008,0.00143100954903697,0.00287441549914844
"DHODH",0.230479297734795,8.2233223718976,10.3845860766527,0.00145187779353127,0.00291475466125595
"PSG1",0.262388300209777,7.92884431284036,10.3600735369871,0.00147044378091995,0.00295043073402542
"LRRC74B",0.277669511978722,7.33868250954293,10.3277180130663,0.00149532170177002,0.00299871024703766
"UBE2I",-0.249202907644141,7.47149007931049,10.3266862936723,0.00149612201274035,0.00299871024703766
"INHBE",0.259475424130865,7.50359761602725,10.3149691473395,0.00150524180791934,0.00301536020916886
"PPP1R35",-0.262157960782997,7.56296640449757,10.3104931318969,0.00150874057959207,0.00302073801958262
"MPO",0.28164188312493,7.30069602118645,10.2910734305462,0.00152401678838488,0.0030496776078252
"INSL3",0.299187473388374,7.28725084263148,10.2848816816452,0.0015289205514957,0.0030578411029914
"ZC3H7B",-0.266090248806802,7.39918965332059,10.2657207613444,0.00154419796387796,0.00308673192132934
"UBE2B",-0.263002997843744,7.33098676753933,10.2627720561513,0.00154656282662163,0.00308979433859248
"NUPR1",-0.405082146612658,7.00697226422933,10.2544980092235,0.0015532183748231,0.00310142097448532
"CCL21",0.835590362757113,8.7159215845301,10.2812839140274,0.00155540916472358,0.00310412479888354
"FAM90A1",0.268028169539414,7.50944730341065,10.2385802740993,0.00156610476249342,0.00312378960690892
"RPAIN",-0.28306689954732,7.54402990024084,10.2159895841986,0.00158458092493847,0.00315894424047379
"RHOT2",-0.256409185886148,7.36002606253803,10.1953688210264,0.00160164017935974,0.00319123795135587
"HBA1",0.248291246062864,8.07244331014911,10.1774358079151,0.00161662827973495,0.00321937247333154
"OSTM1",0.270096690196834,7.41821437454152,10.1719934610747,0.00162120516129406,0.00322675490794042
"DDX50",0.276735629229204,7.34575040845464,10.1705201060772,0.00162244649094669,0.00322749409191004
"ZNF207",-0.263940842909934,7.65384102210017,10.1512859486369,0.0016387409410544,0.00325816124936326
"GLRX5",0.281313101887421,8.2625418154498,10.1473609207437,0.00164208654919698,0.00326167599950867
"DMWD",-0.282066217958545,7.29611840585822,10.147149387862,0.00164226705312188,0.00326167599950867
"OR4C13",0.273434304947609,7.37713378659338,10.1455658366084,0.00164361896284978,0.00326261442063813
"MAPK12",-0.277201767650833,7.38547193285573,10.1444557578792,0.00164456733687618,0.00326275124054044
"ZNF609",-0.235288206520207,7.57061506121851,10.1364448825687,0.00165142785555684,0.00327461108718112
"IL32",0.511285087663491,8.3685361143117,10.1613667643049,0.00165422681655984,0.00327840891529754
"OR11H1",0.34563558063505,7.26895770909522,10.1150877733346,0.00166986124744572,0.00330762692366451
"CDV3",-0.267025992048158,7.39352258529883,10.1090789412597,0.00167508526138889,0.00331620401267492
"AGAP3",-0.275163398477205,7.37212672047643,10.0997987939545,0.00168318612917642,0.00333046428759708
"ELL2",-0.269243626159142,7.41355943424721,10.0912679352688,0.00169066821017025,0.0033434856395158
"MRPL4",-0.271788341247644,7.444502866781,10.0471205546239,0.00172993432670482,0.0034193161172482
"GAS6",-0.364879340801873,7.13877240965148,10.0343739337703,0.00174144393853113,0.00344023270071912
"MT1M",-0.34516049575835,7.97740628493349,10.0137691672941,0.00177333387472199,0.00350136704375657
"SLC34A3",0.291061085394733,7.31886300780393,9.98573311593638,0.00178608771716182,0.00352467310142039
"KRTAP10-12",0.280708958222893,7.28638704115241,9.97443582022859,0.00179662288131717,0.00354242207132621
"ALOX5",0.349500002463382,7.27087239689339,9.97404179762556,0.00179699146583178,0.00354242207132621
"SOX3",0.27587925027339,7.47217561629633,9.92507405678126,0.00184340437027581,0.00363198630574787
"ZZEF1",0.253597700565242,7.43109640207682,9.89696690874066,0.00187059636893056,0.00368360537618492
"OR9Q2",0.26066553130007,7.39265841006251,9.89048052193151,0.00187692953934571,0.00369411596338068
"ZNF821",-0.260461958959335,7.50054709430922,9.87568822431513,0.00189145448414342,0.00372072965862784
"OR2M5",0.294507148181885,7.24490177166329,9.86808114585611,0.00189896873027037,0.00373353152586278
"APOBEC3G",0.281710303174504,7.31135590903126,9.83516698399889,0.00193183430395956,0.0037961362646663
"MCM3",-0.223277653958722,7.95620589848108,9.81664799495727,0.00195058083356276,0.00383094488751606
"RPH3AL",0.236033877366701,7.61536343570044,9.80589396557742,0.00196155219316344,0.0038504543050986
"POLR2J2",0.239704223707446,8.0888684629516,9.75382531963835,0.00201557161040929,0.00395440014522394
"BMS1",0.248810023505427,7.37966739286644,9.76499092762675,0.00202007771714417,0.00396114605211674
"NFKBIZ",-0.280262281057182,7.47815065506787,9.74720069939034,0.00202255258580852,0.00396390390562579
"ARL10",0.263271788951294,7.66182278898036,9.67787686654893,0.002097104751708,0.0041078451049824
"ZNF578",0.301017735785113,7.10522409567765,9.67660523912521,0.00209849820895923,0.00410840546450594
"EWSR1",-0.245297117581158,7.68462720066618,9.6592357354514,0.00211762683510704,0.00414366854337929
"JAK1",0.326770384848852,7.21745652264487,9.64664353291417,0.00213160567970913,0.0041676844037918
"OR5A1",0.256476429837321,7.60142390866941,9.64615769811312,0.00213214689983742,0.0041676844037918
"SS18L1",-0.238174004608449,7.57176309356058,9.6338436059641,0.00214591179735057,0.00419238165780442
"PPP1R9B",0.283317765363393,7.36798644225056,9.60961203676905,0.00217326407572389,0.00424358406365032
"NDST1",-0.248194168398905,7.34854844452592,9.59399009025999,0.00219108660296437,0.00427613429615876
"WIPI1",-0.261863020397337,7.81321713599889,9.58584708599944,0.00220043583175729,0.00429212246888514
"VIM",0.523404263926002,10.0329259234857,9.59834823528207,0.0022143754459844,0.00431704303972786
"SMIM40",0.251803782890329,8.33105267309806,9.5455952582985,0.00224725272773382,0.00437883803565782
"EIF2AK1",-0.245203526622059,7.43716146221632,9.50752626013331,0.00229246777639098,0.00446459603696091
"LY6K",0.268634967128908,7.41536422077786,9.50395651256521,0.00229675502816339,0.00447059871693924
"TUSC2",0.24498238082398,8.79894344324926,9.48637165336687,0.00231799432938351,0.00450957470477861
"KRTAP10-10",0.230367608337736,8.04663438651682,9.46890422255179,0.00233929064107755,0.00454862069098412
"LGALS9C",0.273898334816889,7.51607857502186,9.4560554942322,0.00235508344199461,0.00457693010466212
"PRIMA1",0.255391701929648,7.91766796065348,9.45260795501077,0.00235933944812072,0.00458280070812978
"H3C15",-0.657245501176877,8.86709252460575,9.47540198597524,0.0023624150972111,0.00458637363194829
"CCDC137",-0.221446954310962,7.58227113483203,9.43302666303391,0.0023836622933031,0.00462520246242389
"ADAMTS13",0.250323666494662,7.42183034816419,9.43112999520668,0.00238603181316257,0.00462738004539109
"SLC6A17",0.23462188554286,7.41467127831782,9.42876702235883,0.00238898726097328,0.0046306910857946
"TXNRD2",-0.23349612339333,7.68895837638649,9.4253489012176,0.00239326904267113,0.00463656822366052
"RASSF6",-0.29723162120137,7.20741897072466,9.40533016944305,0.00241850398046534,0.00468301136092192
"SUGP2",-0.252714509564644,7.42413674672464,9.39902771306917,0.00242650483224738,0.00469605264874166
"SIRT6",-0.239376587936088,8.13745706202419,9.38060611215942,0.00245004625236956,0.0047391405611528
"IGFBP4",-0.487139906128349,9.25080805003397,9.39622105900414,0.00246147219796723,0.00475876073708098
"TNKS2",0.233746535392539,7.70574768771438,9.35970254803569,0.00247704252125684,0.00478636862180358
"SPARCL1",0.434033327150775,7.24123407124208,9.37273264303977,0.00248618217328056,0.00480152829925606
"FEM1C",-0.248850355738166,7.61263252573795,9.34241040020592,0.00249960459236735,0.00482493914551658
"PABPC4",-0.255298834915282,7.36495439506912,9.33314406213529,0.00251178130645692,0.00484592233331003
"OLR1",-0.289524467327014,7.37858708607742,9.33080027324821,0.00251487083609549,0.00484936112365606
"SLC3A1",-0.352845864298385,7.22837259254945,9.32358505707531,0.0025244061935983,0.00486521920948035
"HDHD2",-0.287777850154421,7.32960287267822,9.31477208685277,0.00253610327024156,0.00488522488712159
"TFIP11",-0.242452346958869,7.52674335992135,9.30864300316186,0.0025442708106963,0.00489841448245109
"UBL3",0.261295064257718,7.75236762857511,9.2945796013017,0.00256311337243546,0.00493213206002882
"NUP50",0.265653688434532,7.32987382353584,9.26751575421917,0.00259977700011717,0.00500008951292624
"CLEC5A",-0.226360850613294,7.82628453840049,9.24241997171666,0.00263425384271377,0.00506377293081248
"RAB13",-0.222266759474223,7.61478346436042,9.23057568729719,0.00265068776607484,0.00509272481208579
"KHDRBS3",-0.243812092831896,7.83927863790192,9.20498953683062,0.00268654748051953,0.00515894987201214
"ATP8B2",0.236734612750384,7.5538376305333,9.19866874307766,0.00269548245779166,0.00517342985949668
"TEDC2",0.257561982812324,7.52953639458174,9.19308490722197,0.00270340097410033,0.0051859449916816
"PSMA1",-0.269236487956956,7.26598158412704,9.18378563573715,0.00271664126636352,0.00520865069674865
"SLURP1",0.26890063120272,7.29926854655456,9.17770628649038,0.0027253328854469,0.00522261622159504
"RPL29",0.326042530961102,8.85716293674185,9.15689850428113,0.00275840470301231,0.00528326352512942
"PRRC2B",-0.255654751423792,7.39032036343807,9.14208742020566,0.00277683190284142,0.00531581339501634
"SEC63",-0.248869322338895,7.54179825257582,9.1396022816154,0.00278046195585207,0.00532001746065559
"RPL14",0.280505996702054,8.82904116333231,9.13784910495503,0.00278302574970527,0.00532217810897245
"MAP3K7CL",-0.267033304580044,7.54173051196856,9.13684117450648,0.00278450081251439,0.00532225554581577
"REX1BD",-0.266855251433469,7.3092899565706,9.13482657669554,0.00278745148770717,0.00532515191523873
"FAM43B",0.259268568726354,7.78190432708505,9.1258653641828,0.00280061532373983,0.00534754650081048
"GOLM2",-0.253076871677673,7.54229740099559,9.11410852295895,0.00281798242302037,0.00537793970648435
"TBC1D17",-0.258310101842252,7.26396130919859,9.10267926867288,0.00283497127074672,0.00540758016168141
"PGR",0.26967823573556,7.44809815473564,9.08168918742345,0.00286644520249837,0.00546480560188538
"SPCS1",-0.26478742116288,7.49432537766157,9.07457052359216,0.00287720042406938,0.00548249284709676
"KCNK13",0.261812208893332,7.80201953936716,9.03887983474296,0.00293174963021964,0.00558356834092139
"STRBP",0.250409828920669,7.4463708145122,9.02973830468447,0.00294589096083651,0.00560762209579449
"CDX1",0.230279677612306,7.46300674532073,9.01622645029423,0.00296692087284611,0.00564475714782517
"KDM4B",-0.223144894645602,8.20363827949041,9.01098927181223,0.00297511331014708,0.0056574425323658
